Timestamp,"Укажите, пожалуйста, Ваш пол","Укажите, пожалуйста, Ваш возраст",Возрастная группа,"Пожалуйста, укажите сведения о вашем образовании: ступень (например, среднее, среднее специальное, неоконченное высшее, высшее, ученая степень) и количество лет (количество лет школьного образования + следующая ступень).
Например: высшее, 15",В каком сезоне у Вас день рождения?,"Правда ли, что некоторые из студентов разговаривают?","Правда ли, что девушка работает за ноутбуком?","Правда ли, что 5 студентов присутствуют на докладе?","Правда ли, что некоторые из участников хора поют?","Правда ли, что 2 человека стоят в очереди?","Правда ли, что в кружке налит чай?","Правда ли, что девушка начала есть орехи?","Правда ли, что к лифту идут две девушки?","Правда ли, что девушка начала пить воду?","Можно ли описать ситуацию как ""Некоторые из студентов разговаривают""?","Можно ли описать ситуацию как ""Девушка работает за компьютером""?","Можно ли описать ситуацию как ""Пятеро студентов присутствуют на докладе""?","Можно ли описать ситуацию как ""Некоторые из участников хора поют""?","Можно ли описать ситуацию как ""2 человека стоят в очереди""?","Можно ли описать ситуацию как ""В кружке налит чай, его размешивают ложкой""?","Можно ли описать ситуацию как ""Девушка начала есть орехи""?","Можно ли описать ситуацию как ""К лифту идут две девушки""?","Можно ли описать ситуацию как ""Девушка начала пить воду""?"
12/27/2023 23:21:49,Женский,23,21-35,"высшее, бакалавр, 16",Лето,,,,,,,,,,Можно,Можно,Можно,Можно,Можно,Скорее можно,Можно,Скорее можно,Можно
12/27/2023 23:24:27,Женский,19,до 21,"неоконченное высшее, 13.5",Зима,Правда,Правда,Правда,Правда,Правда,Неправда,Правда,Неправда,Правда,,,,,,,,,
12/27/2023 23:37:41,Женский,20,до 21,"Неоконченное высшее, 14",Весна,Правда,Скорее неправда,Скорее правда,Правда,Правда,Скорее неправда,Правда,Скорее неправда,Правда,,,,,,,,,
12/27/2023 23:53:32,Женский,28,21-35,"кандидат наук, 10+6+3",Зима,Правда,Правда,Скорее неправда,Правда,Неправда,Неправда,Скорее неправда,Неправда,Неправда,,,,,,,,,
12/27/2023 23:58:12,Женский,16,до 21,"Среднее, 11",Зима,Скорее неправда,Скорее правда,Скорее неправда,Скорее правда,Правда,Правда,Правда,Неправда,Правда,,,,,,,,,
12/28/2023 1:01:30,Женский,22,21-35,Высшее ,Осень,,,,,,,,,,Можно,Можно,Скорее можно,Нельзя,Скорее нельзя,Можно,Скорее можно,Нельзя,Скорее можно
12/28/2023 1:48:49,Женский,20,до 21,"Неоконченное высшее, 13",Весна,Правда,Скорее правда,Скорее неправда,Правда,Скорее правда,Скорее правда,Правда,Скорее неправда,Скорее правда,,,,,,,,,
12/28/2023 11:34:14,Мужской,44,35+,Высшее,Осень,,,,,,,,,,Скорее нельзя,Можно,Можно,Скорее нельзя,Можно,Нельзя,Скорее нельзя,Нельзя,Нельзя
12/28/2023 12:50:09,Женский,18,до 21,Среднее 11,Лето,,,,,,,,,,Можно,Скорее нельзя,Скорее можно,Скорее нельзя,Нельзя,Можно,Можно,Нельзя,Можно
12/28/2023 14:36:16,Мужской,46,35+,"высшее, 15",Осень,,,,,,,,,,Скорее можно,Можно,Скорее можно,Скорее можно,Скорее можно,Скорее можно,Скорее можно,Скорее нельзя,Можно
12/28/2023 15:52:00,Мужской,48,35+,16,Лето,,,,,,,,,,Можно,Можно,Можно,Можно,Можно,Скорее можно,Скорее можно,Нельзя,Скорее можно
12/28/2023 15:52:43,Женский,51,35+,Среднее + высшее,Весна,Правда,Скорее правда,Неправда,Скорее неправда,Скорее правда,Неправда,Скорее правда,Неправда,Правда,,,,,,,,,
12/28/2023 16:08:45,Женский,26,21-35,Неоконченное высшее ,Весна,Скорее правда,Скорее правда,Скорее правда,Скорее правда,Правда,Скорее правда,Скорее правда,Скорее неправда,Скорее правда,,,,,,,,,
12/28/2023 17:13:42,Женский,21,21-35,"неоконченное высшее, 14,5",Лето,,,,,,,,,,Можно,Можно,Нельзя,Скорее можно,Скорее нельзя,Нельзя,Скорее можно,Нельзя,Скорее можно
